tollgate_id,time_window,Time,direction,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,volume,dayofweek,A,B,C
3,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,17,Monday,106.0961972,101.826,163.165
3,9/19/2016 0:00,12:00:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,181,Monday,106.0961972,101.826,163.165
1,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,13,Monday,0,105.4405882,155.8408824
1,9/19/2016 0:00,12:00:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,140,Monday,0,105.4405882,155.8408824
2,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,2,Monday,77.23528926,0,0
1,9/19/2016 0:20,12:20:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,6,Monday,0,106.4733333,168.093125
1,9/19/2016 0:20,12:20:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,56,Monday,0,106.4733333,168.093125
3,9/19/2016 0:20,12:20:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,16,Monday,119.1414925,112.8140741,207.198
3,9/19/2016 0:20,12:20:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,112,Monday,119.1414925,112.8140741,207.198
3,9/19/2016 0:40,12:40:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,16,Monday,132.1590244,106.1142857,145.8270588
3,9/19/2016 0:40,12:40:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,93,Monday,132.1590244,106.1142857,145.8270588
1,9/19/2016 0:40,12:40:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,9,Monday,0,125.692963,159.9486667
1,9/19/2016 0:40,12:40:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,31,Monday,0,125.692963,159.9486667
3,9/19/2016 1:00,1:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,17,Monday,115.395082,110.5677586,194.8514286
